habit_name,periodicity,owner,datetime_completion
Sleep,daily,Barbie,2024-01-01 10:58:48
Sleep,daily,Barbie,2024-01-02 10:58:48
Sleep,daily,Barbie,2024-01-03 10:58:48
Sleep,daily,Barbie,2024-01-04 10:58:48
Sleep,daily,Barbie,2024-01-05 10:58:48
Sleep,daily,Barbie,2024-01-06 10:58:48
Sleep,daily,Barbie,2024-01-07 10:58:48
Sleep,daily,Barbie,2024-01-08 10:58:48
Sleep,daily,Barbie,2024-01-09 10:58:48
Sleep,daily,Barbie,2024-01-10 10:58:48
Sleep,daily,Barbie,2024-01-11 10:58:48
Sleep,daily,Barbie,2024-01-12 10:58:48
Sleep,daily,Barbie,2024-01-13 10:58:48
Sleep,daily,Barbie,2024-01-14 10:58:48
Sleep,daily,Barbie,2024-01-15 10:58:48
Sleep,daily,Barbie,2024-01-16 10:58:48
Sleep,daily,Barbie,2024-01-17 10:58:48
Sleep,daily,Barbie,2024-01-18 10:58:48
Sleep,daily,Barbie,2024-01-19 10:58:48
Sleep,daily,Barbie,2024-01-20 10:58:48
Sleep,daily,Barbie,2024-01-21 10:58:48
Sleep,daily,Barbie,2024-01-22 10:58:48
Sleep,daily,Barbie,2024-01-23 10:58:48
Sleep,daily,Barbie,2024-01-24 10:58:48
Sleep,daily,Barbie,2024-01-25 10:58:48
Sleep,daily,Barbie,2024-01-26 10:58:48
Sleep,daily,Barbie,2024-01-27 10:58:48
Sleep,daily,Barbie,2024-01-28 10:58:48
Sleep,daily,Barbie,2024-01-29 10:58:48
Sleep,daily,Barbie,2024-01-30 10:58:48
Sleep,daily,Barbie,2024-01-31 10:58:48
Sleep,daily,Barbie,2024-02-01 10:58:48
Sleep,daily,Barbie,2024-02-02 10:58:48
Sleep,daily,Barbie,2024-02-03 10:58:48
Sleep,daily,Barbie,2024-02-04 10:58:48
Sleep,daily,Barbie,2024-02-05 10:58:48
Sleep,daily,Barbie,2024-02-06 10:58:48
Sleep,daily,Barbie,2024-02-07 10:58:48
Sleep,daily,Barbie,2024-02-08 10:58:48
Sleep,daily,Barbie,2024-02-09 10:58:48
Sleep,daily,Barbie,2024-02-10 10:58:48
Sleep,daily,Barbie,2024-02-11 10:58:48
Sleep,daily,Barbie,2024-02-12 10:58:48
Sleep,daily,Barbie,2024-02-13 10:58:48
Sleep,daily,Barbie,2024-02-14 10:58:48
Sleep,daily,Barbie,2024-02-15 10:58:48
Sleep,daily,Barbie,2024-02-16 10:58:48
Sleep,daily,Barbie,2024-02-17 10:58:48
Sleep,daily,Barbie,2024-02-18 10:58:48
Sleep,daily,Barbie,2024-02-19 10:58:48
Sleep,daily,Barbie,2024-02-20 10:58:48
Sleep,daily,Barbie,2024-02-21 10:58:48
Sleep,daily,Barbie,2024-02-22 10:58:48
Sleep,daily,Barbie,2024-02-23 10:58:48
Sleep,daily,Barbie,2024-02-24 10:58:48
Sleep,daily,Barbie,2024-02-25 10:58:48
Sleep,daily,Barbie,2024-02-26 10:58:48
Sleep,daily,Barbie,2024-02-27 10:58:48
Sleep,daily,Barbie,2024-02-28 10:58:48
Sleep,daily,Barbie,2024-02-29 10:58:48
Sleep,daily,Barbie,2024-03-01 10:58:48
Sleep,daily,Barbie,2024-03-02 10:58:48
Sleep,daily,Barbie,2024-03-03 10:58:48
Sleep,daily,Barbie,2024-03-04 10:58:48
Sleep,daily,Barbie,2024-03-05 10:58:48
Sleep,daily,Barbie,2024-03-06 10:58:48
Sleep,daily,Barbie,2024-03-07 10:58:48
Sleep,daily,Barbie,2024-03-08 10:58:48
Sleep,daily,Barbie,2024-03-09 10:58:48
Sleep,daily,Barbie,2024-03-10 10:58:48
Sleep,daily,Barbie,2024-03-11 10:58:48
Sleep,daily,Barbie,2024-03-12 10:58:48
Sleep,daily,Barbie,2024-03-13 10:58:48
Sleep,daily,Barbie,2024-03-14 10:58:48
Sleep,daily,Barbie,2024-03-15 10:58:48
Sleep,daily,Barbie,2024-03-16 10:58:48
Sleep,daily,Barbie,2024-03-17 10:58:48
Sleep,daily,Barbie,2024-03-18 10:58:48
Sleep,daily,Barbie,2024-03-19 10:58:48
Sleep,daily,Barbie,2024-03-20 10:58:48
Sleep,daily,Barbie,2024-03-21 10:58:48
Sleep,daily,Barbie,2024-03-22 10:58:48
Sleep,daily,Barbie,2024-03-23 10:58:48
Sleep,daily,Barbie,2024-03-24 10:58:48
Sleep,daily,Barbie,2024-03-25 10:58:48
Sleep,daily,Barbie,2024-03-26 10:58:48
Water,daily,Barbie,2024-01-01 10:58:48
Water,daily,Barbie,2024-01-02 10:58:48
Water,daily,Barbie,2024-01-03 10:58:48
Water,daily,Barbie,2024-01-04 10:58:48
Water,daily,Barbie,2024-01-05 10:58:48
Water,daily,Barbie,2024-01-06 10:58:48
Water,daily,Barbie,2024-01-07 10:58:48
Water,daily,Barbie,2024-01-08 10:58:48
Water,daily,Barbie,2024-01-09 10:58:48
Water,daily,Barbie,2024-01-10 10:58:48
Water,daily,Barbie,2024-01-11 10:58:48
Water,daily,Barbie,2024-01-12 10:58:48
Water,daily,Barbie,2024-01-13 10:58:48
Water,daily,Barbie,2024-01-14 10:58:48
Water,daily,Barbie,2024-01-15 10:58:48
Water,daily,Barbie,2024-01-16 10:58:48
Water,daily,Barbie,2024-01-17 10:58:48
Water,daily,Barbie,2024-01-18 10:58:48
Water,daily,Barbie,2024-01-19 10:58:48
Water,daily,Barbie,2024-01-20 10:58:48
Water,daily,Barbie,2024-01-21 10:58:48
Water,daily,Barbie,2024-01-22 10:58:48
Water,daily,Barbie,2024-01-23 10:58:48
Water,daily,Barbie,2024-01-24 10:58:48
Water,daily,Barbie,2024-01-25 10:58:48
Water,daily,Barbie,2024-01-26 10:58:48
Water,daily,Barbie,2024-01-27 10:58:48
Water,daily,Barbie,2024-01-28 10:58:48
Water,daily,Barbie,2024-01-29 10:58:48
Water,daily,Barbie,2024-01-30 10:58:48
Water,daily,Barbie,2024-01-31 10:58:48
Water,daily,Barbie,2024-02-01 10:58:48
Water,daily,Barbie,2024-02-02 10:58:48
Water,daily,Barbie,2024-02-03 10:58:48
Water,daily,Barbie,2024-02-04 10:58:48
Water,daily,Barbie,2024-02-05 10:58:48
Water,daily,Barbie,2024-02-06 10:58:48
Water,daily,Barbie,2024-02-07 10:58:48
Water,daily,Barbie,2024-02-08 10:58:48
Water,daily,Barbie,2024-02-09 10:58:48
Water,daily,Barbie,2024-02-10 10:58:48
Water,daily,Barbie,2024-02-11 10:58:48
Water,daily,Barbie,2024-02-12 10:58:48
Water,daily,Barbie,2024-02-13 10:58:48
Water,daily,Barbie,2024-02-14 10:58:48
Water,daily,Barbie,2024-02-15 10:58:48
Water,daily,Barbie,2024-02-16 10:58:48
Water,daily,Barbie,2024-02-17 10:58:48
Water,daily,Barbie,2024-02-18 10:58:48
Water,daily,Barbie,2024-02-19 10:58:48
Water,daily,Barbie,2024-02-20 10:58:48
Water,daily,Barbie,2024-02-21 10:58:48
Water,daily,Barbie,2024-02-22 10:58:48
Water,daily,Barbie,2024-02-23 10:58:48
Water,daily,Barbie,2024-02-24 10:58:48
Water,daily,Barbie,2024-02-25 10:58:48
Water,daily,Barbie,2024-02-26 10:58:48
Water,daily,Barbie,2024-02-27 10:58:48
Water,daily,Barbie,2024-02-28 10:58:48
Water,daily,Barbie,2024-02-29 10:58:48
Water,daily,Barbie,2024-03-01 10:58:48
Water,daily,Barbie,2024-03-02 10:58:48
Water,daily,Barbie,2024-03-03 10:58:48
Water,daily,Barbie,2024-03-04 10:58:48
Water,daily,Barbie,2024-03-05 10:58:48
Water,daily,Barbie,2024-03-06 10:58:48
Water,daily,Barbie,2024-03-07 10:58:48
Water,daily,Barbie,2024-03-08 10:58:48
Water,daily,Barbie,2024-03-09 10:58:48
Water,daily,Barbie,2024-03-10 10:58:48
Water,daily,Barbie,2024-03-11 10:58:48
Water,daily,Barbie,2024-03-12 10:58:48
Water,daily,Barbie,2024-03-13 10:58:48
Water,daily,Barbie,2024-03-14 10:58:48
Water,daily,Barbie,2024-03-15 10:58:48
Water,daily,Barbie,2024-03-16 10:58:48
Water,daily,Barbie,2024-03-17 10:58:48
Water,daily,Barbie,2024-03-18 10:58:48
Water,daily,Barbie,2024-03-19 10:58:48
Water,daily,Barbie,2024-03-20 10:58:48
Water,daily,Barbie,2024-03-21 10:58:48
Water,daily,Barbie,2024-03-22 10:58:48
Water,daily,Barbie,2024-03-23 10:58:48
Water,daily,Barbie,2024-03-24 10:58:48
Water,daily,Barbie,2024-03-25 10:58:48
Water,daily,Barbie,2024-03-26 10:58:48
Swimming,monthly,Barbie,2024-01-01 10:58:48
Swimming,monthly,Barbie,2024-02-01 10:58:48
Swimming,monthly,Barbie,2024-03-01 10:58:48
Running,weekly,Barbie,2024-01-01 10:58:48
Running,weekly,Barbie,2024-01-08 10:58:48
Running,weekly,Barbie,2024-01-15 10:58:48
Running,weekly,Barbie,2024-01-22 10:58:48
Running,weekly,Barbie,2024-01-29 10:58:48
Running,weekly,Barbie,2024-02-05 10:58:48
Running,weekly,Barbie,2024-02-12 10:58:48
Running,weekly,Barbie,2024-02-19 10:58:48
Running,weekly,Barbie,2024-02-26 10:58:48
Running,weekly,Barbie,2024-03-04 10:58:48
Running,weekly,Barbie,2024-03-11 10:58:48
Running,weekly,Barbie,2024-03-18 10:58:48
Running,weekly,Barbie,2024-03-25 10:58:48
Gym,monthly,Barbie,2024-01-01 10:58:48
Gym,monthly,Barbie,2024-02-01 10:58:48
Gym,monthly,Barbie,2024-03-01 10:58:48
